iter	Passed	Remaining
400	16719	66670
401	16754	66602
402	16789	66531
403	16825	66470
404	16860	66400
405	16894	66330
406	16927	66253
407	16965	66198
408	17004	66148
409	17046	66105
410	17090	66074
411	17124	66002
412	17162	65948
413	17202	65900
414	17245	65865
415	17294	65850
416	17330	65790
417	17367	65732
418	17409	65690
419	17443	65618
420	17479	65558
421	17516	65500
422	17553	65443
423	17586	65369
424	17621	65302
425	17656	65237
426	17694	65184
427	17735	65140
428	17769	65073
429	17808	65022
430	17841	64950
431	17873	64874
432	17906	64804
433	17941	64737
434	17979	64685
435	18012	64614
436	18045	64541
437	18075	64461
438	18110	64396
439	18147	64342
440	18184	64284
441	18222	64231
442	18261	64184
443	18303	64144
444	18339	64085
445	18375	64024
446	18409	63959
447	18445	63901
448	18479	63835
449	18517	63781
450	18551	63717
451	18589	63663
452	18625	63605
453	18659	63541
454	18692	63471
455	18727	63411
456	18766	63361
457	18801	63300
458	18837	63242
459	18873	63185
460	18913	63141
461	18949	63084
462	18983	63018
463	19019	62959
464	19057	62909
465	19095	62858
466	19132	62806
467	19169	62750
468	19203	62687
469	19238	62626
470	19273	62567
471	19305	62496
472	19340	62437
473	19373	62372
474	19409	62314
475	19443	62253
476	19477	62188
477	19513	62131
478	19545	62062
479	19577	61995
480	19617	61952
481	19655	61902
482	19699	61870
483	19758	61889
484	19811	61884
485	19859	61865
486	19898	61821
487	19937	61772
488	19971	61712
489	20005	61650
490	20043	61601
491	20082	61554
492	20120	61503
493	20169	61486
494	20209	61445
495	20260	61434
496	20302	61396
497	20342	61355
498	20379	61301
499	20413	61241
500	20446	61177
501	20478	61109
502	20513	61050
503	20545	60983
504	20581	60929
505	20618	60878
506	20652	60816
507	20685	60754
508	20723	60705
509	20759	60651
510	20793	60591
511	20827	60529
512	20862	60473
513	20896	60412
514	20931	60354
515	20966	60298
516	20999	60237
517	21032	60175
518	21067	60117
519	21101	60058
520	21138	60006
521	21175	59958
522	21218	59921
523	21264	59898
524	21310	59871
525	21354	59841
526	21394	59798
527	21432	59752
528	21469	59701
529	21510	59661
530	21555	59633
531	21595	59591
532	21633	59543
533	21671	59494
534	21708	59445
535	21743	59389
536	21784	59350
537	21826	59312
538	21892	59340
539	21934	59304
540	21973	59260
541	22014	59221
542	22052	59172
543	22093	59131
544	22130	59082
545	22169	59038
546	22214	59007
547	22257	58972
548	22301	58943
549	22342	58903
550	22386	58871
551	22424	58823
552	22468	58791
553	22512	58760
554	22551	58714
555	22593	58678
556	22637	58645
557	22676	58602
558	22717	58560
559	22750	58501
560	22784	58444
561	22818	58386
562	22854	58332
563	22890	58281
564	22926	58229
565	22962	58176
566	22997	58122
567	23031	58064
568	23066	58010
569	23102	57957
570	23147	57928
571	23188	57889
572	23225	57840
573	23260	57785
574	23295	57732
575	23328	57674
576	23366	57626
577	23409	57592
578	23449	57551
579	23485	57498
580	23519	57443
581	23559	57402
582	23598	57356
583	23635	57307
584	23670	57254
585	23705	57200
586	23740	57147
587	23775	57092
588	23810	57039
589	23847	56991
590	23886	56948
591	23921	56895
592	23956	56841
593	23995	56797
594	24035	56757
595	24072	56708
596	24110	56661
597	24143	56604
598	24184	56564
599	24226	56528
600	24261	56476
601	24303	56439
602	24343	56398
603	24379	56346
604	24426	56323
605	24464	56277
606	24504	56234
607	24542	56189
608	24583	56150
609	24627	56118
610	24663	56068
611	24702	56024
612	24747	55993
613	24797	55977
614	24838	55938
615	24879	55898
616	24916	55850
617	24954	55804
618	24998	55771
619	25035	55724
620	25072	55676
621	25110	55630
622	25153	55595
623	25191	55549
624	25229	55505
625	25265	55454
626	25298	55399
627	25332	55344
628	25365	55287
629	25397	55229
630	25430	55174
631	25464	55120
632	25498	55064
633	25532	55011
634	25570	54966
635	25605	54915
636	25668	54923
637	25714	54895
638	25748	54840
639	25785	54793
640	25823	54749
641	25860	54702
642	25898	54656
643	25934	54607
644	25971	54560
645	26005	54506
646	26037	54450
647	26071	54396
648	26109	54350
649	26146	54304
650	26186	54263
651	26221	54212
652	26255	54159
653	26288	54104
654	26325	54056
655	26362	54010
656	26398	53961
657	26429	53903
658	26462	53848
659	26496	53796
660	26536	53754
661	26575	53713
662	26619	53680
663	26655	53632
664	26694	53589
665	26728	53536
666	26765	53490
667	26811	53461
668	26853	53426
669	26890	53379
670	26925	53328
671	26970	53298
672	27012	53262
673	27053	53223
674	27105	53206
675	27150	53176
676	27191	53138
677	27249	53133
678	27288	53089
679	27333	53059
680	27372	53015
681	27406	52963
682	27443	52918
683	27476	52863
684	27513	52818
685	27550	52770
686	27583	52717
687	27618	52668
688	27652	52615
689	27689	52570
690	27727	52525
691	27762	52476
692	27797	52426
693	27835	52381
694	27870	52331
695	27909	52290
696	27948	52248
697	27984	52201
698	28023	52158
