iter	RMSE
246	219943.554
247	219879.5454
248	219787.8337
249	219705.9282
250	219625.3343
251	219546.4738
252	219441.3099
253	219345.2542
254	219259.3444
255	219166.9126
256	219055.1531
257	218990.8601
258	218908.4871
259	218806.0008
260	218740.1869
261	218643.9555
262	218498.1843
263	218418.1347
264	218313.0766
265	218229.5891
266	218147.1656
267	218065.4263
268	217983.7337
269	217902.347
270	217822.4263
271	217759.7526
272	217707.733
273	217624.8114
274	217537.321
275	217471.6497
276	217394.1856
277	217313.0364
278	217250.4018
279	217176.5399
280	217104.9664
281	217037.1978
282	216958.9157
283	216909.6434
284	216856.5878
285	216806.1828
286	216732.7017
287	216664.1613
288	216609.2291
289	216528.4508
290	216464.9699
291	216403.9436
292	216344.5576
293	216272.6161
294	216190.2397
295	216140.949
296	216063.1609
297	216003.0526
298	215937.0696
299	215879.7012
300	215802.3462
301	215742.8962
302	215686.8514
303	215617.3984
304	215565.7063
305	215503.4741
306	215464.1469
307	215401.985
308	215330.2075
309	215272.2415
310	215220.9584
311	215158.3744
312	215100.2131
313	215015.8675
314	214952.2471
315	214896.6012
316	214869.2792
317	214816.9006
318	214766.602
319	214687.0683
320	214628.9757
321	214579.052
322	214529.4349
323	214458.7937
324	214376.2721
325	214295.1889
326	214248.7625
327	214212.3974
328	214153.164
329	214086.6327
330	213999.8811
331	213925.0608
332	213869.0467
333	213817.3339
334	213746.3929
335	213696.2647
336	213639.5017
337	213591.0305
338	213538.96
339	213486.8654
340	213440.3282
341	213397.2288
342	213340.6298
343	213299.5779
344	213233.0425
345	213192.0214
346	213143.8476
347	213090.4474
348	213026.4156
349	212964.4703
350	212910.4165
351	212866.0207
352	212806.8179
353	212748.3577
354	212710.9176
355	212670.1449
356	212628.1003
357	212568.9883
358	212493.5901
359	212433.6265
360	212381.9107
361	212328.5916
362	212286.1589
363	212246.7756
364	212206.3243
365	212149.6748
366	212108.6291
367	212077.0433
368	212039.414
369	211984.5532
370	211931.4962
371	211890.6608
372	211844.205
373	211772.6162
374	211701.3534
375	211667.0185
376	211610.4591
377	211542.1956
378	211483.6448
379	211439.9604
380	211367.0055
381	211326.8851
382	211273.5494
383	211234.0832
384	211184.9495
385	211121.7463
386	211068.4662
387	211028.2672
388	210953.9606
389	210920.8577
390	210869.992
391	210823.1641
392	210777.9009
393	210746.962
394	210705.78
395	210678.4502
396	210629.1429
397	210592.2048
398	210554.2451
399	210502.4409
400	210449.3309
401	210401.7023
402	210350.1701
403	210305.3195
404	210260.884
405	210205.2604
406	210152.6684
407	210095.5973
408	210055.0603
409	210008.7633
410	209953.0167
411	209915.1013
412	209885.5733
413	209856.832
414	209809.0505
415	209771.2065
416	209723.5246
417	209675.3561
418	209639.2417
419	209598.08
420	209559.2479
421	209510.8423
422	209461.7558
423	209427.555
424	209393.6198
425	209336.9664
426	209299.1566
427	209246.4891
428	209197.7496
429	209158.4701
430	209123.4385
431	209081.5802
432	209044.1814
433	209003.2684
434	208963.9077
435	208924.788
436	208856.3837
437	208839.4612
438	208775.8341
439	208721.0252
440	208678.212
441	208649.5314
442	208612.1546
443	208539.4649
444	208491.6115
445	208451.7437
446	208404.6791
447	208369.6971
448	208321.2878
449	208271.8174
450	208229.9395
451	208180.2894
452	208130.9695
453	208097.0513
454	208058.2938
455	208020.4753
456	207981.9603
457	207917.9701
458	207881.1592
459	207842.2819
460	207808.437
461	207766.8343
462	207717.797
463	207684.5753
464	207635.0438
465	207604.9644
466	207561.6512
467	207525.8853
468	207479.0631
469	207446.8393
470	207403.4554
471	207358.8521
472	207327.8996
473	207294.7798
474	207257.6339
475	207227.8467
476	207191.1442
477	207140.6455
478	207113.8756
479	207073.172
480	207026.8473
481	206997.4274
482	206966.501
483	206928.2359
484	206890.9761
485	206861.5406
486	206817.257
487	206766.6111
488	206732.3432
489	206700.7428
490	206674.382
491	206627.1023
492	206597.5852
493	206547.7651
494	206505.1914
495	206479.1891
496	206442.7942
497	206405.3553
498	206367.8644
499	206331.0044
500	206269.3989
501	206217.2435
502	206186.0914
503	206147.1797
504	206124.1683
505	206097.7284
506	206074.4521
507	206038.2955
508	206000.5787
509	205974.6204
510	205957.6771
511	205922.9806
512	205885.4953
513	205853.0962
514	205808.3958
515	205765.2297
516	205737.2039
517	205705.9799
518	205661.1761
519	205620.383
520	205594.8024
521	205571.6996
522	205536.6533
523	205519.1018
524	205490.9937
525	205461.5558
526	205426.8627
527	205374.0149
528	205325.5025
529	205284.2831
530	205250.8717
531	205230.14
532	205198.7649
533	205156.2416
534	205123.6195
535	205097.5979
536	205055.3076
537	205020.1077
538	204986.322
539	204947.2551
540	204928.5183
541	204901.9537
542	204854.2716
543	204823.971
544	204795.2148
545	204763.4049
546	204746.6749
547	204719.3301
548	204687.0086
549	204660.8957
550	204606.9285
551	204577.2055
552	204544.3314
553	204506.2158
554	204476.411
555	204435.841
556	204409.135
557	204383.3236
558	204352.7513
559	204321.4484
560	204291.0619
561	204253.6074
562	204212.7445
563	204164.3008
564	204129.0632
565	204095.5292
566	204072.6542
567	204052.8476
568	204016.543
569	203988.6793
570	203967.4443
571	203944.2535
572	203924.4177
573	203908.4973
574	203870.6251
575	203828.3372
576	203808.8826
577	203781.2788
578	203752.1363
579	203722.03
580	203689.5823
581	203665.5246
582	203612.8265
583	203586.7059
584	203563.4813
585	203530.0426
586	203499.8748
587	203475.9209
588	203435.1319
589	203404.9532
590	203377.7854
591	203349.2606
592	203325.6551
593	203301.4258
594	203276.4698
595	203234.1865
596	203202.6907
597	203176.5844
598	203142.2462
599	203112.9692
600	203074.1525
601	203045.1369
602	203019.4387
603	202992.2615
604	202968.6204
605	202942.2253
606	202903.1017
607	202880.8506
608	202855.948
609	202813.268
610	202787.9141
611	202755.9431
612	202736.3764
613	202711.4946
614	202693.0966
615	202654.5684
616	202627.9826
617	202595.1562
618	202571.5018
619	202545.9625
620	202506.1545
621	202476.2548
622	202440.1876
623	202412.8442
624	202385.0965
625	202363.7359
626	202339.4405
627	202299.8508
628	202264.8234
629	202218.5876
630	202194.5217
631	202172.3064
632	202138.3598
633	202127.4877
634	202106.5021
635	202076.2327
636	202049.6543
637	202028.2796
638	202013.344
639	201974.8762
640	201951.0475
641	201929.1769
642	201908.7994
643	201880.2851
644	201856.5319
645	201824.9206
646	201789.2319
647	201755.9378
648	201737.3379
649	201709.6784
650	201691.1899
651	201660.6611
652	201625.494
653	201600.3982
654	201572.616
655	201547.3753
656	201517.164
657	201484.7841
658	201455.4891
659	201436.2663
660	201401.5808
661	201385.3798
662	201359.8164
663	201327.4632
664	201295.1672
665	201261.6293
666	201222.4891
667	201192.722
668	201172.8262
669	201150.9606
670	201121.6126
671	201099.0825
672	201077.1271
